ticker,max_drawdown,avg_drawdown
INTC,-0.638045488338895,-0.276886395386308
AMD,-0.630002851367935,-0.201222139601826
MU,-0.576289722574088,-0.148957710807634
TSLA,-0.537656801185852,-0.20873824634642
005930.KS,-0.428474046969881,-0.125429801667171
AVGO,-0.411496766236221,-0.0786292150278179
NVDA,-0.368810246707066,-0.0732814468415567
TSM,-0.368173649760753,-0.0722931691428457
000660.KS,-0.365975069520919,-0.0898006625303604
MSFT,-0.344983990494689,-0.0815796782810583
LLY,-0.344750060995276,-0.0843806230195728
META,-0.341508026986314,-0.0820658236511312
AAPL,-0.33360519953145,-0.0689809642591404
AMZN,-0.30876638431876,-0.072123693878117
GOOG,-0.293500634101408,-0.0677752084457936
2222.SR,-0.255613563155905,-0.119333653077268
JPM,-0.244239356435505,-0.0435587517629835
WMT,-0.219280384974046,-0.0371173095316874
V,-0.203776940065368,-0.0526453483694266
BRK-B,-0.149481297269598,-0.0487474874186634
